id,title,address,price,surface,rooms,property_type,latitude,longitude,description,features,source,url,scraped_at,property_type_extracted,qualitative_features
1288,Immaculate studio flat available! All bills inclusive,Baker street,750.0,,,appartement,,,,[],craigslist_london,https://london.craigslist.org/apa/d/london-immaculate-studio-flat-available/7865825468.html,2025-08-09,studio,['unknown']
1289,SPACIOUS STUDIO FLAT,Shepherds Bush,800.0,,,appartement,,,,[],craigslist_london,https://london.craigslist.org/apa/d/london-spacious-studio-flat/7862407849.html,2025-08-09,studio,['spacious']
1290,FURNISHED STUDIO FLAT,FULHAM,800.0,,,appartement,,,,[],craigslist_london,https://london.craigslist.org/apa/d/london-furnished-studio-flat/7862406871.html,2025-08-09,studio,['furnished']
1291,NOW AVAILABLE ! CHELSEA - MAGICAL KINGS ROAD FLAT -  AUGUST 2025,384 Kings Road,498.0,,,appartement,,,,[],craigslist_london,https://london.craigslist.org/apa/d/london-now-available-chelsea-magical/7864495832.html,2025-08-09,unknown,['unknown']
1292,🏢 Bright & Furnished Studio in Bos en Lommer 🏢,Amsterdam,800.0,,,appartement,,,,[],craigslist_amsterdam,https://amsterdam.craigslist.org/apa/d/bright-furnished-studio-in-bos-en/7871705414.html,2025-08-09,studio,"['bright', 'furnished']"
1293,Central Station STUDIO,Amsterdam,900.0,,,appartement,,,,[],craigslist_amsterdam,https://amsterdam.craigslist.org/apa/d/central-station-studio/7869901952.html,2025-08-09,studio,['unknown']
1294,53RD STREET AND 3RD AVE LARGE STUDIO INC GAS AND ELELCRTIC 24HRS DOORM,Midtown,2000.0,,,appartement,,,,[],craigslist_newyork,https://newyork.craigslist.org/mnh/apa/d/new-york-53rd-street-and-3rd-ave-large/7872432506.html,2025-08-09,studio,['unknown']
1295,glorious studio,Upper East Side,2050.0,,,appartement,,,,[],craigslist_newyork,https://newyork.craigslist.org/mnh/apa/d/brooklyn-glorious-studio/7872269032.html,2025-08-09,studio,['unknown']
1296,Large Studio/1br Apartment for Rent In Prospect Lefferts Garden,Brooklyn,2250.0,,,appartement,,,,[],craigslist_newyork,https://newyork.craigslist.org/brk/apa/d/brooklyn-large-studio-1br-apartment-for/7872328632.html,2025-08-09,studio,['unknown']
1297,"Bright Studio – Roof Deck, Elevator, Laundry, SS Appliances *NET PRICE",East Flatbush,2188.0,,,appartement,,,,[],craigslist_newyork,https://newyork.craigslist.org/brk/apa/d/brooklyn-bright-studio-roof-deck/7872347697.html,2025-08-09,studio,"['bright', 'roof_deck', 'elevator', 'laundry']"
1298,"Spacious Studio Loft – Exposed Brick, High Ceilings, Outdoor Access",Ridgewood,2500.0,,,appartement,,,,[],craigslist_newyork,https://newyork.craigslist.org/brk/apa/d/brooklyn-spacious-studio-loft-exposed/7872347649.html,2025-08-09,studio,['spacious']
1299,Ready to make a move? Our Studio 700 Sq Ft is calling.,Stamford,2000.0,,,appartement,,,,[],craigslist_newyork,https://newyork.craigslist.org/fct/apa/d/stamford-ready-to-make-move-our-studio/7872338554.html,2025-08-09,studio,['unknown']
1300,Newly renovated Charming Spacious Studio Near Express Trains,Lefferts Garden / Crown Heights/Flatbush /Kensington,1999.0,,,appartement,,,,[],craigslist_newyork,https://newyork.craigslist.org/brk/apa/d/brooklyn-newly-renovated-charming/7872323772.html,2025-08-09,studio,['spacious']
1301,Newly renovated Charming Spacious Studio Near Prospect Park,Park slope/ Prospect Heights/ Crown Heights/clinton Hill,2499.0,,,appartement,,,,[],craigslist_newyork,https://newyork.craigslist.org/brk/apa/d/brooklyn-newly-renovated-charming/7872321706.html,2025-08-09,studio,['spacious']
1302,MINT STUDIO WITH PRIVATE BACKYARD-ALL INCLUDED- 36 STREET & 28TH AVENU,"ASTORIA, 36 STREET",1900.0,,,appartement,,,,[],craigslist_newyork,https://newyork.craigslist.org/que/apa/d/astoria-mint-studio-with-private/7872252994.html,2025-08-09,studio,['unknown']
1303,🤩Awesome Renovated Studio Duplex Near 2&5 Train🚈,Prospect Lefferts Gardens,2450.0,,,appartement,,,,[],craigslist_newyork,https://newyork.craigslist.org/brk/apa/d/brooklyn-awesome-renovated-studio/7872250889.html,2025-08-09,studio,['unknown']
1304,Great Large Studio Kensington,Kensington,1995.0,,,appartement,,,,[],craigslist_newyork,https://newyork.craigslist.org/brk/apa/d/brooklyn-great-large-studio-kensington/7872237911.html,2025-08-09,studio,['unknown']
